都道府県,スポット名,カテゴリ,説明,URL,評価
北海道,N/A,N/A,N/A,N/A,4.4
北海道,N/A,N/A,N/A,N/A,4.1
北海道,N/A,N/A,N/A,N/A,4.0
北海道,N/A,N/A,N/A,N/A,4.3
北海道,N/A,N/A,N/A,N/A,4.3
北海道,N/A,N/A,N/A,N/A,4.1
北海道,N/A,N/A,N/A,N/A,4.1
北海道,N/A,N/A,N/A,N/A,4.2
北海道,N/A,N/A,N/A,N/A,4.5
北海道,N/A,N/A,N/A,N/A,3.8
北海道,N/A,N/A,N/A,N/A,4.3
北海道,N/A,N/A,N/A,N/A,4.0
北海道,N/A,N/A,N/A,N/A,4.1
北海道,N/A,N/A,N/A,N/A,4.9
北海道,N/A,N/A,N/A,N/A,3.9
北海道,N/A,N/A,N/A,N/A,4.0
北海道,N/A,N/A,N/A,N/A,4.1
北海道,N/A,N/A,N/A,N/A,4.2
北海道,N/A,N/A,N/A,N/A,4.7
北海道,N/A,N/A,N/A,N/A,2.3
北海道,N/A,N/A,N/A,N/A,4.4
北海道,N/A,N/A,N/A,N/A,4.1
北海道,N/A,N/A,N/A,N/A,4.2
北海道,N/A,N/A,N/A,N/A,4.4
北海道,N/A,N/A,N/A,N/A,4.2
北海道,N/A,N/A,N/A,N/A,4.3
北海道,N/A,N/A,N/A,N/A,4.2
北海道,N/A,N/A,N/A,N/A,4.4
北海道,N/A,N/A,N/A,N/A,4.2
北海道,N/A,N/A,N/A,N/A,4.4
青森県,N/A,N/A,N/A,N/A,4.2
青森県,N/A,N/A,N/A,N/A,4.2
青森県,N/A,N/A,N/A,N/A,4.1
青森県,N/A,N/A,N/A,N/A,3.8
青森県,N/A,N/A,N/A,N/A,4.3
青森県,N/A,N/A,N/A,N/A,3.9
青森県,N/A,N/A,N/A,N/A,3.9
青森県,N/A,N/A,N/A,N/A,4.2
青森県,N/A,N/A,N/A,N/A,4.0
青森県,N/A,N/A,N/A,N/A,3.9
青森県,N/A,N/A,N/A,N/A,4.2
青森県,N/A,N/A,N/A,N/A,4.0
青森県,N/A,N/A,N/A,N/A,4.2
青森県,N/A,N/A,N/A,N/A,4.4
青森県,N/A,N/A,N/A,N/A,3.8
青森県,N/A,N/A,N/A,N/A,4.1
青森県,N/A,N/A,N/A,N/A,4.3
青森県,N/A,N/A,N/A,N/A,4.3
青森県,N/A,N/A,N/A,N/A,4.5
青森県,N/A,N/A,N/A,N/A,4.0
青森県,N/A,N/A,N/A,N/A,4.2
青森県,N/A,N/A,N/A,N/A,4.8
青森県,N/A,N/A,N/A,N/A,4.0
青森県,N/A,N/A,N/A,N/A,4.1
青森県,N/A,N/A,N/A,N/A,4.1
青森県,N/A,N/A,N/A,N/A,4.0
青森県,N/A,N/A,N/A,N/A,3.0
青森県,N/A,N/A,N/A,N/A,4.3
青森県,N/A,N/A,N/A,N/A,4.1
青森県,N/A,N/A,N/A,N/A,4.9
岩手県,N/A,N/A,N/A,N/A,4.0
岩手県,N/A,N/A,N/A,N/A,4.0
岩手県,N/A,N/A,N/A,N/A,4.7
岩手県,N/A,N/A,N/A,N/A,4.2
岩手県,N/A,N/A,N/A,N/A,4.4
岩手県,N/A,N/A,N/A,N/A,4.4
岩手県,N/A,N/A,N/A,N/A,4.2
岩手県,N/A,N/A,N/A,N/A,4.1
岩手県,N/A,N/A,N/A,N/A,4.3
岩手県,N/A,N/A,N/A,N/A,3.9
岩手県,N/A,N/A,N/A,N/A,4.3
岩手県,N/A,N/A,N/A,N/A,4.1
岩手県,N/A,N/A,N/A,N/A,4.4
岩手県,N/A,N/A,N/A,N/A,4.2
岩手県,N/A,N/A,N/A,N/A,4.4
岩手県,N/A,N/A,N/A,N/A,4.4
岩手県,N/A,N/A,N/A,N/A,4.3
岩手県,N/A,N/A,N/A,N/A,4.8
岩手県,N/A,N/A,N/A,N/A,4.0
岩手県,N/A,N/A,N/A,N/A,4.2
岩手県,N/A,N/A,N/A,N/A,4.4
岩手県,N/A,N/A,N/A,N/A,4.2
岩手県,N/A,N/A,N/A,N/A,4.2
岩手県,N/A,N/A,N/A,N/A,4.4
岩手県,N/A,N/A,N/A,N/A,3.9
岩手県,N/A,N/A,N/A,N/A,3.9
岩手県,N/A,N/A,N/A,N/A,4.2
岩手県,N/A,N/A,N/A,N/A,4.2
岩手県,N/A,N/A,N/A,N/A,4.1
岩手県,N/A,N/A,N/A,N/A,4.2
宮城県,N/A,N/A,N/A,N/A,4.6
宮城県,N/A,N/A,N/A,N/A,4.4
宮城県,N/A,N/A,N/A,N/A,4.0
宮城県,N/A,N/A,N/A,N/A,4.3
宮城県,N/A,N/A,N/A,N/A,4.2
宮城県,N/A,N/A,N/A,N/A,4.2
宮城県,N/A,N/A,N/A,N/A,4.2
宮城県,N/A,N/A,N/A,N/A,4.1
宮城県,N/A,N/A,N/A,N/A,4.2
宮城県,N/A,N/A,N/A,N/A,3.9
宮城県,N/A,N/A,N/A,N/A,0.0
宮城県,N/A,N/A,N/A,N/A,4.4
宮城県,N/A,N/A,N/A,N/A,4.3
宮城県,N/A,N/A,N/A,N/A,4.1
宮城県,N/A,N/A,N/A,N/A,4.8
宮城県,N/A,N/A,N/A,N/A,4.4
宮城県,N/A,N/A,N/A,N/A,4.3
宮城県,N/A,N/A,N/A,N/A,4.4
宮城県,N/A,N/A,N/A,N/A,4.0
宮城県,N/A,N/A,N/A,N/A,4.1
宮城県,N/A,N/A,N/A,N/A,4.3
宮城県,N/A,N/A,N/A,N/A,4.2
宮城県,N/A,N/A,N/A,N/A,3.7
宮城県,N/A,N/A,N/A,N/A,4.1
宮城県,N/A,N/A,N/A,N/A,4.4
宮城県,N/A,N/A,N/A,N/A,3.7
宮城県,N/A,N/A,N/A,N/A,4.2
宮城県,N/A,N/A,N/A,N/A,4.4
宮城県,N/A,N/A,N/A,N/A,4.3
宮城県,N/A,N/A,N/A,N/A,4.1
秋田県,N/A,N/A,N/A,N/A,4.1
秋田県,N/A,N/A,N/A,N/A,4.2
秋田県,N/A,N/A,N/A,N/A,3.8
秋田県,N/A,N/A,N/A,N/A,4.1
秋田県,N/A,N/A,N/A,N/A,4.4
秋田県,N/A,N/A,N/A,N/A,4.2
秋田県,N/A,N/A,N/A,N/A,4.0
秋田県,N/A,N/A,N/A,N/A,4.0
秋田県,N/A,N/A,N/A,N/A,4.1
秋田県,N/A,N/A,N/A,N/A,4.4
秋田県,N/A,N/A,N/A,N/A,4.2
秋田県,N/A,N/A,N/A,N/A,4.3
秋田県,N/A,N/A,N/A,N/A,4.6
秋田県,N/A,N/A,N/A,N/A,4.3
秋田県,N/A,N/A,N/A,N/A,4.1
秋田県,N/A,N/A,N/A,N/A,4.3
秋田県,N/A,N/A,N/A,N/A,4.3
秋田県,N/A,N/A,N/A,N/A,4.2
秋田県,N/A,N/A,N/A,N/A,3.9
秋田県,N/A,N/A,N/A,N/A,3.9
秋田県,N/A,N/A,N/A,N/A,5.0
秋田県,N/A,N/A,N/A,N/A,4.3
秋田県,N/A,N/A,N/A,N/A,4.1
秋田県,N/A,N/A,N/A,N/A,3.9
秋田県,N/A,N/A,N/A,N/A,4.1
秋田県,N/A,N/A,N/A,N/A,4.4
秋田県,N/A,N/A,N/A,N/A,3.8
秋田県,N/A,N/A,N/A,N/A,4.0
秋田県,N/A,N/A,N/A,N/A,4.0
秋田県,N/A,N/A,N/A,N/A,4.1
山形県,N/A,N/A,N/A,N/A,4.7
山形県,N/A,N/A,N/A,N/A,4.3
山形県,N/A,N/A,N/A,N/A,4.2
山形県,N/A,N/A,N/A,N/A,4.4
山形県,N/A,N/A,N/A,N/A,4.3
山形県,N/A,N/A,N/A,N/A,4.5
山形県,N/A,N/A,N/A,N/A,4.2
山形県,N/A,N/A,N/A,N/A,4.3
山形県,N/A,N/A,N/A,N/A,3.8
山形県,N/A,N/A,N/A,N/A,4.2
山形県,N/A,N/A,N/A,N/A,4.1
山形県,N/A,N/A,N/A,N/A,4.0
山形県,N/A,N/A,N/A,N/A,4.8
山形県,N/A,N/A,N/A,N/A,4.1
山形県,N/A,N/A,N/A,N/A,4.4
山形県,N/A,N/A,N/A,N/A,4.3
山形県,N/A,N/A,N/A,N/A,4.2
山形県,N/A,N/A,N/A,N/A,4.1
山形県,N/A,N/A,N/A,N/A,5.0
山形県,N/A,N/A,N/A,N/A,4.2
山形県,N/A,N/A,N/A,N/A,0.0
山形県,N/A,N/A,N/A,N/A,4.9
山形県,N/A,N/A,N/A,N/A,3.9
山形県,N/A,N/A,N/A,N/A,3.8
山形県,N/A,N/A,N/A,N/A,4.2
山形県,N/A,N/A,N/A,N/A,4.5
山形県,N/A,N/A,N/A,N/A,4.3
山形県,N/A,N/A,N/A,N/A,4.3
山形県,N/A,N/A,N/A,N/A,4.4
山形県,N/A,N/A,N/A,N/A,4.2
福島県,N/A,N/A,N/A,N/A,4.2
福島県,N/A,N/A,N/A,N/A,5.0
福島県,N/A,N/A,N/A,N/A,4.1
福島県,N/A,N/A,N/A,N/A,4.0
福島県,N/A,N/A,N/A,N/A,4.0
福島県,N/A,N/A,N/A,N/A,4.4
福島県,N/A,N/A,N/A,N/A,4.0
福島県,N/A,N/A,N/A,N/A,4.1
福島県,N/A,N/A,N/A,N/A,4.2
福島県,N/A,N/A,N/A,N/A,3.9
福島県,N/A,N/A,N/A,N/A,3.8
福島県,N/A,N/A,N/A,N/A,4.0
福島県,N/A,N/A,N/A,N/A,3.9
福島県,N/A,N/A,N/A,N/A,3.8
福島県,N/A,N/A,N/A,N/A,4.6
福島県,N/A,N/A,N/A,N/A,4.6
福島県,N/A,N/A,N/A,N/A,3.9
福島県,N/A,N/A,N/A,N/A,4.0
福島県,N/A,N/A,N/A,N/A,4.0
福島県,N/A,N/A,N/A,N/A,4.0
福島県,N/A,N/A,N/A,N/A,4.2
福島県,N/A,N/A,N/A,N/A,3.9
福島県,N/A,N/A,N/A,N/A,4.4
福島県,N/A,N/A,N/A,N/A,4.3
福島県,N/A,N/A,N/A,N/A,3.4
福島県,N/A,N/A,N/A,N/A,4.0
福島県,N/A,N/A,N/A,N/A,4.2
福島県,N/A,N/A,N/A,N/A,4.1
福島県,N/A,N/A,N/A,N/A,3.9
福島県,N/A,N/A,N/A,N/A,4.2
茨城県,N/A,N/A,N/A,N/A,4.1
茨城県,N/A,N/A,N/A,N/A,4.2
茨城県,N/A,N/A,N/A,N/A,4.2
茨城県,N/A,N/A,N/A,N/A,4.0
茨城県,N/A,N/A,N/A,N/A,4.4
茨城県,N/A,N/A,N/A,N/A,3.3
茨城県,N/A,N/A,N/A,N/A,4.1
茨城県,N/A,N/A,N/A,N/A,4.4
茨城県,N/A,N/A,N/A,N/A,4.0
茨城県,N/A,N/A,N/A,N/A,4.0
茨城県,N/A,N/A,N/A,N/A,4.6
茨城県,N/A,N/A,N/A,N/A,3.9
茨城県,N/A,N/A,N/A,N/A,4.2
茨城県,N/A,N/A,N/A,N/A,4.0
茨城県,N/A,N/A,N/A,N/A,4.3
茨城県,N/A,N/A,N/A,N/A,4.4
茨城県,N/A,N/A,N/A,N/A,4.2
茨城県,N/A,N/A,N/A,N/A,3.7
茨城県,N/A,N/A,N/A,N/A,3.9
茨城県,N/A,N/A,N/A,N/A,4.1
茨城県,N/A,N/A,N/A,N/A,4.0
茨城県,N/A,N/A,N/A,N/A,4.1
茨城県,N/A,N/A,N/A,N/A,3.8
茨城県,N/A,N/A,N/A,N/A,4.0
茨城県,N/A,N/A,N/A,N/A,4.2
茨城県,N/A,N/A,N/A,N/A,4.2
茨城県,N/A,N/A,N/A,N/A,3.8
茨城県,N/A,N/A,N/A,N/A,4.1
茨城県,N/A,N/A,N/A,N/A,4.1
茨城県,N/A,N/A,N/A,N/A,4.0
栃木県,N/A,N/A,N/A,N/A,3.9
栃木県,N/A,N/A,N/A,N/A,4.5
栃木県,N/A,N/A,N/A,N/A,4.2
栃木県,N/A,N/A,N/A,N/A,3.8
栃木県,N/A,N/A,N/A,N/A,4.1
栃木県,N/A,N/A,N/A,N/A,4.5
栃木県,N/A,N/A,N/A,N/A,4.3
栃木県,N/A,N/A,N/A,N/A,4.2
栃木県,N/A,N/A,N/A,N/A,4.1
栃木県,N/A,N/A,N/A,N/A,4.1
栃木県,N/A,N/A,N/A,N/A,4.6
栃木県,N/A,N/A,N/A,N/A,4.0
栃木県,N/A,N/A,N/A,N/A,4.2
栃木県,N/A,N/A,N/A,N/A,4.2
栃木県,N/A,N/A,N/A,N/A,3.8
栃木県,N/A,N/A,N/A,N/A,4.9
栃木県,N/A,N/A,N/A,N/A,4.0
栃木県,N/A,N/A,N/A,N/A,4.1
栃木県,N/A,N/A,N/A,N/A,4.5
栃木県,N/A,N/A,N/A,N/A,3.6
栃木県,N/A,N/A,N/A,N/A,4.3
栃木県,N/A,N/A,N/A,N/A,4.0
栃木県,N/A,N/A,N/A,N/A,4.0
栃木県,N/A,N/A,N/A,N/A,4.1
栃木県,N/A,N/A,N/A,N/A,4.1
栃木県,N/A,N/A,N/A,N/A,3.9
栃木県,N/A,N/A,N/A,N/A,4.4
栃木県,N/A,N/A,N/A,N/A,4.6
栃木県,N/A,N/A,N/A,N/A,4.3
栃木県,N/A,N/A,N/A,N/A,4.0
群馬県,N/A,N/A,N/A,N/A,4.2
群馬県,N/A,N/A,N/A,N/A,4.3
群馬県,N/A,N/A,N/A,N/A,4.2
群馬県,N/A,N/A,N/A,N/A,3.9
群馬県,N/A,N/A,N/A,N/A,4.3
群馬県,N/A,N/A,N/A,N/A,3.6
群馬県,N/A,N/A,N/A,N/A,4.1
群馬県,N/A,N/A,N/A,N/A,2.3
群馬県,N/A,N/A,N/A,N/A,4.3
群馬県,N/A,N/A,N/A,N/A,3.9
群馬県,N/A,N/A,N/A,N/A,3.6
群馬県,N/A,N/A,N/A,N/A,4.3
群馬県,N/A,N/A,N/A,N/A,3.6
群馬県,N/A,N/A,N/A,N/A,4.4
群馬県,N/A,N/A,N/A,N/A,4.3
群馬県,N/A,N/A,N/A,N/A,4.2
群馬県,N/A,N/A,N/A,N/A,4.2
群馬県,N/A,N/A,N/A,N/A,4.0
群馬県,N/A,N/A,N/A,N/A,3.9
群馬県,N/A,N/A,N/A,N/A,4.0
群馬県,N/A,N/A,N/A,N/A,4.8
群馬県,N/A,N/A,N/A,N/A,4.6
群馬県,N/A,N/A,N/A,N/A,4.8
群馬県,N/A,N/A,N/A,N/A,4.0
群馬県,N/A,N/A,N/A,N/A,4.6
群馬県,N/A,N/A,N/A,N/A,4.0
群馬県,N/A,N/A,N/A,N/A,4.1
群馬県,N/A,N/A,N/A,N/A,4.1
群馬県,N/A,N/A,N/A,N/A,4.0
群馬県,N/A,N/A,N/A,N/A,3.6
埼玉県,N/A,N/A,N/A,N/A,4.1
埼玉県,N/A,N/A,N/A,N/A,4.9
埼玉県,N/A,N/A,N/A,N/A,4.4
埼玉県,N/A,N/A,N/A,N/A,3.5
埼玉県,N/A,N/A,N/A,N/A,4.9
埼玉県,N/A,N/A,N/A,N/A,4.7
埼玉県,N/A,N/A,N/A,N/A,5.0
埼玉県,N/A,N/A,N/A,N/A,4.8
埼玉県,N/A,N/A,N/A,N/A,4.9
埼玉県,N/A,N/A,N/A,N/A,4.7
埼玉県,N/A,N/A,N/A,N/A,5.0
埼玉県,N/A,N/A,N/A,N/A,4.8
埼玉県,N/A,N/A,N/A,N/A,4.1
埼玉県,N/A,N/A,N/A,N/A,4.1
埼玉県,N/A,N/A,N/A,N/A,4.4
埼玉県,N/A,N/A,N/A,N/A,4.8
埼玉県,N/A,N/A,N/A,N/A,4.2
埼玉県,N/A,N/A,N/A,N/A,4.3
埼玉県,N/A,N/A,N/A,N/A,4.3
埼玉県,N/A,N/A,N/A,N/A,3.5
埼玉県,N/A,N/A,N/A,N/A,4.9
埼玉県,N/A,N/A,N/A,N/A,4.7
埼玉県,N/A,N/A,N/A,N/A,3.9
埼玉県,N/A,N/A,N/A,N/A,4.1
埼玉県,N/A,N/A,N/A,N/A,4.8
埼玉県,N/A,N/A,N/A,N/A,4.2
埼玉県,N/A,N/A,N/A,N/A,4.4
埼玉県,N/A,N/A,N/A,N/A,3.8
埼玉県,N/A,N/A,N/A,N/A,4.3
埼玉県,N/A,N/A,N/A,N/A,3.8
千葉県,N/A,N/A,N/A,N/A,4.7
千葉県,N/A,N/A,N/A,N/A,4.6
千葉県,N/A,N/A,N/A,N/A,4.6
千葉県,N/A,N/A,N/A,N/A,4.3
千葉県,N/A,N/A,N/A,N/A,4.4
千葉県,N/A,N/A,N/A,N/A,4.2
千葉県,N/A,N/A,N/A,N/A,5.0
千葉県,N/A,N/A,N/A,N/A,4.9
千葉県,N/A,N/A,N/A,N/A,4.2
千葉県,N/A,N/A,N/A,N/A,4.1
千葉県,N/A,N/A,N/A,N/A,4.0
千葉県,N/A,N/A,N/A,N/A,4.0
千葉県,N/A,N/A,N/A,N/A,4.0
千葉県,N/A,N/A,N/A,N/A,4.3
千葉県,N/A,N/A,N/A,N/A,4.1
千葉県,N/A,N/A,N/A,N/A,4.1
千葉県,N/A,N/A,N/A,N/A,4.4
千葉県,N/A,N/A,N/A,N/A,4.4
千葉県,N/A,N/A,N/A,N/A,4.1
千葉県,N/A,N/A,N/A,N/A,4.4
千葉県,N/A,N/A,N/A,N/A,4.8
千葉県,N/A,N/A,N/A,N/A,3.8
千葉県,N/A,N/A,N/A,N/A,3.8
千葉県,N/A,N/A,N/A,N/A,4.1
千葉県,N/A,N/A,N/A,N/A,4.0
千葉県,N/A,N/A,N/A,N/A,4.6
千葉県,N/A,N/A,N/A,N/A,4.0
千葉県,N/A,N/A,N/A,N/A,3.9
千葉県,N/A,N/A,N/A,N/A,4.8
千葉県,N/A,N/A,N/A,N/A,4.1
東京都,N/A,N/A,N/A,N/A,4.3
東京都,N/A,N/A,N/A,N/A,4.0
東京都,N/A,N/A,N/A,N/A,4.0
東京都,N/A,N/A,N/A,N/A,3.9
東京都,N/A,N/A,N/A,N/A,3.8
東京都,N/A,N/A,N/A,N/A,4.2
東京都,N/A,N/A,N/A,N/A,4.1
東京都,N/A,N/A,N/A,N/A,4.3
東京都,N/A,N/A,N/A,N/A,4.1
東京都,N/A,N/A,N/A,N/A,3.8
東京都,N/A,N/A,N/A,N/A,5.0
東京都,N/A,N/A,N/A,N/A,4.3
東京都,N/A,N/A,N/A,N/A,4.0
東京都,N/A,N/A,N/A,N/A,4.2
東京都,N/A,N/A,N/A,N/A,4.3
東京都,N/A,N/A,N/A,N/A,3.8
東京都,N/A,N/A,N/A,N/A,3.5
東京都,N/A,N/A,N/A,N/A,4.3
東京都,N/A,N/A,N/A,N/A,3.7
東京都,N/A,N/A,N/A,N/A,4.0
東京都,N/A,N/A,N/A,N/A,4.1
東京都,N/A,N/A,N/A,N/A,4.7
東京都,N/A,N/A,N/A,N/A,4.0
東京都,N/A,N/A,N/A,N/A,4.5
東京都,N/A,N/A,N/A,N/A,0.0
東京都,N/A,N/A,N/A,N/A,4.4
東京都,N/A,N/A,N/A,N/A,4.3
東京都,N/A,N/A,N/A,N/A,4.8
東京都,N/A,N/A,N/A,N/A,4.1
東京都,N/A,N/A,N/A,N/A,4.9
神奈川県,N/A,N/A,N/A,N/A,4.7
神奈川県,N/A,N/A,N/A,N/A,3.7
神奈川県,N/A,N/A,N/A,N/A,0.0
神奈川県,N/A,N/A,N/A,N/A,4.4
神奈川県,N/A,N/A,N/A,N/A,4.8
神奈川県,N/A,N/A,N/A,N/A,4.2
神奈川県,N/A,N/A,N/A,N/A,4.1
神奈川県,N/A,N/A,N/A,N/A,4.2
神奈川県,N/A,N/A,N/A,N/A,4.7
神奈川県,N/A,N/A,N/A,N/A,4.1
神奈川県,N/A,N/A,N/A,N/A,4.1
神奈川県,N/A,N/A,N/A,N/A,4.2
神奈川県,N/A,N/A,N/A,N/A,4.2
神奈川県,N/A,N/A,N/A,N/A,4.2
神奈川県,N/A,N/A,N/A,N/A,4.3
神奈川県,N/A,N/A,N/A,N/A,4.1
神奈川県,N/A,N/A,N/A,N/A,4.0
神奈川県,N/A,N/A,N/A,N/A,4.3
神奈川県,N/A,N/A,N/A,N/A,4.2
神奈川県,N/A,N/A,N/A,N/A,3.8
神奈川県,N/A,N/A,N/A,N/A,4.1
神奈川県,N/A,N/A,N/A,N/A,4.2
神奈川県,N/A,N/A,N/A,N/A,3.8
神奈川県,N/A,N/A,N/A,N/A,3.7
神奈川県,N/A,N/A,N/A,N/A,3.9
神奈川県,N/A,N/A,N/A,N/A,4.0
神奈川県,N/A,N/A,N/A,N/A,4.1
神奈川県,N/A,N/A,N/A,N/A,4.2
神奈川県,N/A,N/A,N/A,N/A,4.3
神奈川県,N/A,N/A,N/A,N/A,4.0
新潟県,N/A,N/A,N/A,N/A,4.5
新潟県,N/A,N/A,N/A,N/A,4.2
新潟県,N/A,N/A,N/A,N/A,4.5
新潟県,N/A,N/A,N/A,N/A,4.0
新潟県,N/A,N/A,N/A,N/A,4.3
新潟県,N/A,N/A,N/A,N/A,4.2
新潟県,N/A,N/A,N/A,N/A,4.0
新潟県,N/A,N/A,N/A,N/A,4.2
新潟県,N/A,N/A,N/A,N/A,3.6
新潟県,N/A,N/A,N/A,N/A,4.2
新潟県,N/A,N/A,N/A,N/A,3.9
新潟県,N/A,N/A,N/A,N/A,4.1
新潟県,N/A,N/A,N/A,N/A,3.6
新潟県,N/A,N/A,N/A,N/A,4.2
新潟県,N/A,N/A,N/A,N/A,3.9
新潟県,N/A,N/A,N/A,N/A,4.8
新潟県,N/A,N/A,N/A,N/A,4.3
新潟県,N/A,N/A,N/A,N/A,4.2
新潟県,N/A,N/A,N/A,N/A,4.3
新潟県,N/A,N/A,N/A,N/A,4.7
新潟県,N/A,N/A,N/A,N/A,4.4
新潟県,N/A,N/A,N/A,N/A,4.1
新潟県,N/A,N/A,N/A,N/A,4.2
新潟県,N/A,N/A,N/A,N/A,4.5
新潟県,N/A,N/A,N/A,N/A,4.8
新潟県,N/A,N/A,N/A,N/A,4.4
新潟県,N/A,N/A,N/A,N/A,3.9
新潟県,N/A,N/A,N/A,N/A,4.0
新潟県,N/A,N/A,N/A,N/A,4.2
新潟県,N/A,N/A,N/A,N/A,4.7
富山県,N/A,N/A,N/A,N/A,3.7
富山県,N/A,N/A,N/A,N/A,4.3
富山県,N/A,N/A,N/A,N/A,4.5
富山県,N/A,N/A,N/A,N/A,4.3
富山県,N/A,N/A,N/A,N/A,4.2
富山県,N/A,N/A,N/A,N/A,4.1
富山県,N/A,N/A,N/A,N/A,3.7
富山県,N/A,N/A,N/A,N/A,4.3
富山県,N/A,N/A,N/A,N/A,4.2
富山県,N/A,N/A,N/A,N/A,4.2
富山県,N/A,N/A,N/A,N/A,4.1
富山県,N/A,N/A,N/A,N/A,4.3
富山県,N/A,N/A,N/A,N/A,4.5
富山県,N/A,N/A,N/A,N/A,4.1
富山県,N/A,N/A,N/A,N/A,4.0
富山県,N/A,N/A,N/A,N/A,4.3
富山県,N/A,N/A,N/A,N/A,4.1
富山県,N/A,N/A,N/A,N/A,4.1
富山県,N/A,N/A,N/A,N/A,4.6
